السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,سعر التأمين,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
35000.0,فولكسفاجن باسات,1999,أبيض ,1900.0,4+1 ,,,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1170,0,0,0,0,0,0,0,0
16000.0,بيجو 306,1999,أبيض ,1900.0,4+1 ,,,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1170,0,0,0,0,1,0,0,0
30000.0,هونداي جيتس,2009,أزرق ,1400.0,4+1 ,200 ,1 ,تأجير ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,0,1,0,1,1,1,1
10000.0,ميتسوبيشي I300,1992,أبيض ,1006.0,4+1 ,٦١١٢٣٤٥ ,يدثالثه ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1017,0,0,0,0,0,0,0,0
125000.0,فولكسفاجن باسات,2016,أبيض ,2000.0,4+1 ,121000 ,,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3528,1,0,1,0,1,1,1,1
45000.0,مازدا 3,2000,أزرق ,2500.0,6+1 ,67  ,1 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1345,1,1,1,1,1,1,1,1
100000.0,هونداي توسان,2016,سكني ,2000.0,4+1 ,580000 ,يد أولى  ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3090,0,0,0,0,0,0,0,0
32000.0,هونداي جيتس,2006,فضي ,1400.0,4+1 ,200000 ,5 ,حكومي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2035,1,0,0,0,1,1,1,1
37000.0,سكودا فابيا,2006,أبيض ,1900.0,4+1 ,750000 ,يد ثانيه ,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2340,1,1,0,0,1,1,1,1
36000.0,كيا برايد,2007,أبيض ,1600.0,4+1 ,153000 ,,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,1,0,0,1,1,1,1
66000.0,فولكسفاجن بولو,2015,بني ,1400.0,4+1 ,٦٥٠٠٠ ,٢ ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2190,1,1,1,1,1,1,1,1
26000.0,فيات لينيا,2010,خمري ,1360.0,4+1 ,162000 ,2 ,تأجير ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,1,0,0,1,1,1,1
62000.0,مرسيدس C200,2008,ذهبي ,2400.0,4+1 ,,,عمومي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,2775,0,1,1,0,1,1,0,0
44000.0,فولكسفاجن جولف,2008,سكني ,2000.0,4+1 ,,,تدريب سياقة ,فلسطينية ,ديزل ,عادي ,الكتروني ,2340,0,0,0,0,0,0,0,0
115000.0,سكودا اوكتافيا,2017,عدة الوان ,2000.0,4+1 ,,0 ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3353,1,1,1,1,1,1,1,1
165000.0,ميتسوبيشي اوت لاندر,2017,عدة الوان ,2000.0,6+1 ,0 ,0 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,4228,1,1,1,1,1,1,1,1
36000.0,كيا 2007,2007,أبيض ,1600.0,4+1 ,,,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,1,0,1,0,1,1,1,1
34000.0,هونداي افانتي,2006,أبيض ,1600.0,4+1 ,,,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2340,0,0,1,0,1,1,1,1
