,السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
887,62000.0,فولكسفاجن بولو,2015,عدة الوان ,1200.0,5.0,35000.0,1.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
888,43000.0,كيا برايد,2007,سكني ,1600.0,7.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
889,66000.0,سيت ليون,2015,بني ,1200.0,5.0,75000.0,0.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,0
890,104000.0,سكودا اوكتافيا,2016,أسود ,2000.0,5.0,65000.0,0.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,0,1,0,1,1,1,1
891,4500.0,فيات 127,1982,أزرق ,900.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,0,0,0,0,1,0,0,0
893,60000.0,سيت ابيزا,2015,أسود ,1400.0,5.0,50000.0,1.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,0,0,1,0,1,0
894,10500.0,فولكسفاجن جيتا,1992,أبيض عاجي ,1600.0,5.0,65000.0,4.0,عمومي ,فلسطينية ,بنزين ,عادي ,الكتروني ,0,1,0,0,1,0,0,0
896,20000.0,دايو نوبيرا,2000,خمري ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,0,0,1,1,1,1
897,37000.0,تويوتا كورولا,2000,خمري ,1600.0,5.0,65000.0,2.0,تدريب سياقة ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,0,0,1,0,1,0,1,1
898,106500.0,كيا سبورتاج,2014,فضي ,2000.0,5.0,13000.0,2.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
899,85000.0,كيا اوبتيما,2015,أسود ميتالك ,2000.0,5.0,65000.0,0.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
900,88000.0,سكودا اوكتافيا,2015,سكني ,1600.0,5.0,89700.0,1.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
901,19000.0,دايو ماتيز,2002,ذهبي ,800.0,4.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
902,162000.0,كيا سورينتو,2016,فيراني ,2200.0,5.0,65000.0,1.0,خصوصي ,فلسطينية ,ديزل ,نصف اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
903,118000.0,فولكسفاجن كادي,2016,رصاصي ,2000.0,7.0,23000.0,0.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,1,0,1,0,1,0
904,38000.0,فولكسفاجن كرافيل,2002,أبيض ,2500.0,8.0,123888.0,3.0,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,0,0,1,0,1,0
906,42500.0,اوبل كورسا,2008,أسود ميتالك ,1400.0,5.0,167000.0,3.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,1,1,1,1,0
907,110000.0,فولكسفاجن كادي,2015,رمادي ,1600.0,7.0,110000.0,1.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,1,1,0,1,1,1,0
908,60000.0,فولكسفاجن كرافيل,2006,أبيض عاجي ,2500.0,8.0,65000.0,2.0,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,1,1,0,1,1,0,1
909,55000.0,سكودا اوكتافيا,2008,أبيض ,1900.0,5.0,0.0,2.0,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,0,0,1,1,1,0
910,118000.0,هونداي توسان,2015,فضي ,2000.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
911,165000.0,مرسيدس E200,2011,أبيض عاجي ,1800.0,5.0,100000.0,0.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
912,75000.0,كيا سيراتو,2014,فضي ,1600.0,5.0,21000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,0,1,1,1,1
913,49000.0,كيا فورتي,2011,رمادي ,1600.0,5.0,133.0,2.0,تأجير ,فلسطينية ,بنزين ,نصف اوتوماتيك ,الكتروني ,1,0,1,0,0,1,1,0
914,85000.0,تويوتا هيلاكس,1998,أبيض عاجي ,2500.0,5.0,65000.0,1.0,تجاري ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,0,0,0,0,0,0
915,60000.0,فورد فوكس,2013,رصاصي ,1600.0,5.0,98000.0,3.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,0,0,1,1,1,0
916,98000.0,سكودا اوكتافيا,2014,بني ,2000.0,5.0,150000.0,2.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
917,44999.0,فيات فرينو,2011,أسود ,1250.0,5.0,200000.0,4.0,تأجير ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,0,0,1,1,1,0
918,30000.0,شفروليه كافلير,1998,أحمر ,2200.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
919,40000.0,بيجو 407,2006,فضي ,2000.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,1,1,1,0,0
920,30000.0,اوبل استرا,2013,فيراني ,1600.0,5.0,100000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
921,145000.0,فولكسفاجن GTI,2014,أسود ,2000.0,5.0,92000.0,3.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
